"Id"	"Accession"	"Gene_name"	"Identification_type_36"	"Identification_type_38"	"Identification_type_40"	"Identification_type_61"	"Identification_type_63"	"Identification_type_65"	"Specific_peptides"	"Intensity_36"	"Intensity_38"	"Intensity_40"	"Intensity_61"	"Intensity_63"	"Intensity_65"
6125	"EF3A_YEAST"	"YEF3"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	551	138041856	142459712	140375328	174266416	170552672	167882624
6126	"DHE4_YEAST"	"GDH1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	277	42931304	42042872	39584648	47738000	43086524	43357132
6060	"HS104_YEAST"	"HSP104"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	283	65522992	65540680	66677180	80372360	75366672	77255560
6589	"6PGD1_YEAST"	"GND1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	447	110542536	106779408	108712824	135832752	132844464	132438376
6407	"HSP60_YEAST"	"HSP60"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	268	100504704	98531944	96684920	116648024	115644080	114516648
6850	"CATA_HUMAN_UPS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	194	9392435	10066762	10324223	104945880	101434016	105974488
6802	"G6PI_YEAST"	"PGI1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	282	129986872	127868816	129811824	163166848	161415840	159684528
6455	"K6PF1_YEAST"	"PFK1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	261	42868224	41460020	41966320	48449012	48741312	46208704
6041	"HXKB_YEAST"	"HXK2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	261	88503408	86624136	87310400	98883912	95359328	96916856
6835	"ALF_YEAST"	"FBA1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	1122	188437376	187427632	189042640	246473568	240488448	240658400
6226	"HSP77_YEAST"	"SSC1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	318	62066760	63818372	63316672	82269608	78534976	81049336
5986	"GELS_HUMAN_UPS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	227	10816592	10559134	10008963	108121856	108301776	108133056
6056	"ANT3_HUMAN_UPS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	245	5288606.5	4767709	4713440.5	55857736	56122696	55049124
6334	"IF4A_YEAS7"	"TIF1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	285	69357400	71621176	69973432	88425008	88212520	84781640
5993	"VATB_YEAST"	"VMA2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	260	30298400	29782502	30100108	37602712	34503048	34451076
6625	"VATA_YEAST"	"VMA1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	309	55913692	55005540	55368912	66987156	66381612	66368896
6070	"ACT_YEAST"	"ACT1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	547	90963584	93797432	91713488	115713320	116993280	117802600
6534	"EF1A_YEAST"	"TEF1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	1609	398780320	402766624	398060000	487679936	473861248	469369344
6157	"ACON_YEAST"	"ACO1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	265	62095188	61440332	63930528	78080864	78488832	80079440
6562	"ATPB_YEAST"	"ATP2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	222	51374892	51679696	51912348	63573276	60731656	58000596
6195	"HSP7F_YEAST"	"SSE1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	250	40942792	39257864	40334720	47676724	48685984	49323020
6474	"PCKA_YEAST"	"PCK1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	235	25355434	25172850	24389172	29036896	27587402	27443428
6500	"TPIS_YEAST"	"TPI1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	1320	180766368	184051872	184637504	220891296	224977472	221156176
6768	"SYIC_YEAST"	"ILS1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	190	20304328	19904426	19175808	24630366	23164604	23285444
6058	"G3P1_YEAST"	"TDH1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	131	24550554	26124528	26375666	30646868	29340578	29262692
6377	"GBLP_YEAST"	"ASC1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	210	69726824	66315116	70885904	77722784	75838096	78018024
5980	"THRC_YEAST"	"THR4"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	175	27088096	28041938	27322458	29671240	29091902	29603588
6249	"SYV_YEAST"	"VAS1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	237	24277000	24426640	23906076	29833442	29038262	27632660
6717	"FHP_YEAST"	"YHB1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	255	53902988	54255380	55296368	66720976	64694180	64629992
6606	"QCR2_YEAST"	"QCR2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	152	36413964	36735836	36021072	42285396	40389060	40517252
6118	"SYHC_HUMAN_UPS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	147	3016201.25	5659092.5	4769639.5	60877356	74697840	78898000
6040	"HXKA_YEAST"	"HXK1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	199	37630676	38621600	37694512	43780404	41141804	41947948
6314	"TKT1_YEAST"	"TKL1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	330	81348128	81317192	81613976	96513336	97138360	97182840
6582	"SYLC_YEAST"	"CDC60"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	161	21379300	21243860	20154184	23317586	22815510	22464920
6462	"SSZ1_YEAST"	"SSZ1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	175	27350634	27992896	27968502	33118450	31770814	31690788
6207	"HSP74_YEAST"	"SSA4"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	23	1670515.12	1796222.12	1934002.25	2080614.75	2026154.88	2366433.75
6599	"STI1_YEAST"	"STI1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	189	30048106	30480944	30681802	37534900	37760344	36281208
6650	"TAL1_YEAST"	"TAL1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	117	34288304	33459650	33809940	42993580	41184392	42922844
6748	"K6PF2_YEAST"	"PFK2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	243	23642760	22760188	22601810	29630422	28832222	28820968
6083	"CBS_YEAST"	"CYS4"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	124	34878968	33095430	33631048	38156296	37850876	36832724
6037	"ADH1_YEAST"	"ADH1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	863	137555552	141175104	144493696	185397040	190851328	189230048
6759	"SYUG_HUMAN_UPS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	122	4400204	4440586	4497400.5	48597552	48490816	47990516
6844	"TAU_HUMAN_UPS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	163	7507469.5	7147022.5	7257750.5	78358288	78424880	76032408
6601	"TSA1_YEAST"	"TSA1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	285	99053264	95116760	95779424	120249032	113440048	114989280
6466	"CISY1_YEAST"	"CIT1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	236	67341368	67292168	67315048	76569336	72169048	74056376
6349	"BMH2_YEAST"	"BMH2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	65	5566119	5563767	5414080.5	8063360.5	8344354	8566761
6727	"ARO8_YEAST"	"ARO8"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	126	28660332	29642830	28707692	33826088	33236550	33426404
6077	"RS3_YEAST"	"RPS3"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	198	54431928	55920096	56320312	73270104	69650976	69670888
6256	"HMCS_YEAST"	"ERG13"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	157	38768048	38544844	39243460	47543080	44672104	43989924
6522	"ACEA_YEAST"	"ICL1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	213	25682410	25082494	23263514	28158842	27069488	28204744
6364	"CLH_YEAST"	"CHC1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	124	12731853	13386142	12291764	16041224	15240030	15303926
6596	"ILV5_YEAST"	"ILV5"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	216	49136568	48171208	49121940	58996188	52914972	56508256
6775	"SYEC_YEAST"	"GUS1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	243	25290996	24818724	24662988	29846818	30671994	29966482
6011	"KCRM_HUMAN_UPS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	141	6309695	5438706.5	5924551	64959676	65909668	63583996
6763	"ALDH4_YEAST"	"ALD4"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	160	29496328	27875580	28581156	40201024	37121896	37083852
6348	"BMH1_YEAST"	"BMH1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	45	8159425	8131088.5	7797355.5	9647255	9296251	9997218
6204	"GRP78_YEAST"	"KAR2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	109	26338012	26376624	25707204	31222570	29132184	28959586
6741	"IMB4_YEAST"	"KAP123"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	81	11339406	11281529	11493488	13428933	12569453	12792596
6295	"MDHM_YEAST"	"MDH1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	160	46071012	47027260	46040152	57414396	57278440	53142644
6265	"PMA1_YEAST"	"PMA1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	176	20234704	20348086	20488902	25502704	25201758	26723472
6320	"PDI_YEAST"	"PDI1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	122	11089784	11818268	11427291	13705460	12624205	14213258
6399	"PMG1_YEAST"	"GPM1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	237	284899264	286674016	277668128	329441632	317154432	304301760
6732	"ANXA5_HUMAN_UPS"	NA	"By matching"	"By MS/MS"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	110	5527585.5	6536025	5943625.5	65601800	64785032	65600888
6549	"THIL_YEAST"	"ERG10"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	165	23960712	23768006	24390188	31410964	32202264	29853754
6446	"ATPA_YEAST"	"ATP1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	157	45974700	44910088	43630388	50739360	52376440	48768616
6713	"CARP_YEAST"	"PEP4"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	119	21259800	21186692	21476444	24064540	23177076	24839170
6827	"CYS3_YEAST"	"CYS3"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	168	30074530	31234782	31568058	37125948	35629560	37324500
6220	"ACAC_YEAST"	"ACC1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	194	16253850	15894171	15629401	18320894	17804404	17248616
6388	"RL8B_YEAST"	"RPL8B"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	59	177076.27	1418769	1399431.12	5210762	5526761	6313863.5
6432	"RL4A_YEAST"	"RPL4A"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	207	63582876	64420824	65767948	90778456	92103440	87591352
6813	"PABP_YEAST"	"PAB1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	167	26460042	26950198	26434050	30730890	30145028	29413204
6572	"STM1_YEAST"	"STM1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	147	24671888	24513156	24160236	29179746	28427152	27318054
6167	"TRP_YEAST"	"TRP5"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	105	16466955	16584562	16082484	18030294	17987706	18202332
6411	"IPYR_YEAST"	"IPP1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	231	48564308	48979392	46910856	54459880	53380244	53183252
6656	"SYDC_YEAST"	"DPS1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	148	27842432	28038298	27508514	32940774	32069070	31730992
6304	"CDC48_YEAST"	"CDC48"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	191	18292350	18261676	17842650	22433506	22019130	20555276
6389	"RL8A_YEAST"	"RPL8A"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	23	28817.76	37317.66	35600.85	1122044	1016813.75	1485867.88
6628	"RIR4_YEAST"	"RNR4"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	140	26582868	26475064	26832656	31344828	31600498	29333666
6437	"ALDH6_YEAST"	"ALD6"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	229	37533916	36986504	36673364	46267656	47098488	47979268
6495	"SAHH_YEAST"	"SAH1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	186	46519568	48423336	46610656	61132424	59592692	60815920
6326	"SYSC_YEAST"	"SES1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	154	16063026	15400259	16481264	18364166	16724393	18032458
6627	"APE2_YEAST"	"APE2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	90	14688552	13328042	13762475	15048470	14927310	14707279
6171	"NQO2_HUMAN_UPS"	NA	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	64	3090366.75	3814549.5	4049551.5	55474960	53035032	53484112
6257	"TRXB1_YEAST"	"TRR1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	164	23974770	25590536	23804198	30453658	29074970	27641184
6427	"IDHP_YEAST"	"IDP1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	214	15006832	15008274	14480607	18257624	17677838	18551088
6733	"PHSG_YEAST"	"GPH1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	103	16033130	15297987	15134396	18047840	17709064	17500810
6216	"SYNC_YEAST"	"DED81"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	154	16997012	16388330	15211787	19428030	18747592	18402736
6306	"AHP1_YEAST"	"AHP1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	725	135195872	138101024	138124672	145174368	147003632	140483696
5985	"PIL1_YEAST"	"PIL1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	101	13345007	12786656	12812062	14747961	14726631	14926366
6644	"C1TC_YEAST"	"ADE3"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	111	15844673	16067835	15057007	18562924	17854816	18756100
6799	"MPG1_YEAST"	"PSA1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	150	36476224	35076324	37012692	44726276	45119348	43554780
6451	"G6PD_YEAST"	"ZWF1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	98	8401597	7928399.5	7931107.5	10901049	9511136	9343157
6503	"HXKG_YEAST"	"GLK1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	90	17910716	18094170	18032054	20672814	20691570	20529856
6339	"MASY_YEAS7"	"MLS1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	156	27938436	27983286	28732738	30165692	29269532	29942764
6344	"OYE2_YEAST"	"OYE2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	252	18314262	18585778	19092110	25104686	23247296	22794656
5984	"LSP1_YEAST"	"LSP1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	95	14903923	15049914	14612476	19356426	18530924	18474030
6546	"SYFA_YEAST"	"FRS2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	107	10322791	10382991	10487366	12647935	12658339	12354180
6237	"ABP1_YEAST"	"ABP1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	156	17319438	17311256	16497714	20032124	19525854	18553718
6812	"YM71_YEAST"	"YMR226C"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	124	20840628	21577454	20343454	25422224	24460376	25020338
6069	"HBB_HUMAN_UPS"	NA	"By matching"	"By matching"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	70	2962275.25	1893441.5	3182642.25	37074124	36573504	37167764
6240	"CAH1_HUMAN_UPS"	NA	"By matching"	"By matching"	"By matching"	"By MS/MS"	"By MS/MS"	"By MS/MS"	115	2849422	2837344.75	2778237.5	34981244	36054688	36859040
6394	"DHAS_YEAST"	"HOM2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	183	19771918	19352082	18554424	22836432	22158172	20965492
6203	"HSP73_YEAST"	"SSA3"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	3	1038675.5	1162382.25	239256.55	2183856.5	1848256.88	541487.81
5992	"SYA_YEAST"	"ALA1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	73	11461257	11754154	11628114	12818330	13120927	11712374
6080	"RIR2_YEAST"	"RNR2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	85	20000526	19613512	19105712	25498406	24724478	24169116
6739	"HSP12_YEAST"	"HSP12"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	154	39673388	43103480	39094680	47946292	48870716	50627804
6649	"MET17_YEAST"	"MET17"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	165	22368544	22565354	22103024	27807736	27718170	27387656
6659	"BID_HUMAN_UPS"	NA	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	121	2454758.5	1915196.62	2452995.5	30039172	31479630	30019410
6749	"ZEO1_YEAST"	"ZEO1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	188	22824814	22964212	23700356	42275540	40535064	41314872
6429	"IDHC_YEAST"	"IDP2"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	114	8506894	8685607	8027783	8876328	9649658	8957175
6261	"EF1G2_YEAST"	"TEF4"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	101	30268920	29058166	28154340	35037388	34148940	33507322
6594	"VDAC1_YEAST"	"POR1"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	"By MS/MS"	145	43547400	43270296	43422360	53275864	49357108	51178772
